Div,Date,home_away,team,score,opp_score,Pts,win,goal_diff,points_running,gd_running,wins_running,match_count
D1,07/08/2022,AwayTeam,Schalke 04,1,3,0,0,-2,0,-2,0,1
D1,12/08/2022,HomeTeam,Freiburg,1,3,0,0,-2,3,2,1,2
D1,12/08/2022,AwayTeam,Dortmund,3,1,3,1,2,6,3,2,2
D1,13/08/2022,HomeTeam,Hertha,1,1,1,0,0,1,-2,0,2
D1,13/08/2022,AwayTeam,Ein Frankfurt,1,1,1,0,0,1,-5,0,2
D1,13/08/2022,HomeTeam,Hoffenheim,3,2,3,1,1,3,-1,1,2
D1,13/08/2022,AwayTeam,Bochum,2,3,0,0,-1,0,-2,0,2
D1,13/08/2022,HomeTeam,Leverkusen,1,2,0,0,-1,0,-2,0,2
D1,13/08/2022,AwayTeam,Augsburg,2,1,3,1,1,3,-3,1,2
D1,13/08/2022,HomeTeam,RB Leipzig,2,2,1,0,0,2,0,0,2
D1,13/08/2022,AwayTeam,FC Koln,2,2,1,0,0,4,2,1,2
D1,13/08/2022,HomeTeam,Werder Bremen,2,2,1,0,0,2,0,0,2
D1,13/08/2022,AwayTeam,Stuttgart,2,2,1,0,0,2,0,0,2
D1,13/08/2022,HomeTeam,Schalke 04,2,2,1,0,0,1,-2,0,2
D1,13/08/2022,AwayTeam,M'gladbach,2,2,1,0,0,4,2,1,2
D1,14/08/2022,HomeTeam,Mainz,0,0,1,0,0,4,1,1,2
D1,14/08/2022,AwayTeam,Union Berlin,0,0,1,0,0,4,2,1,2
D1,14/08/2022,HomeTeam,Bayern Munich,2,0,3,1,2,6,7,2,2
D1,14/08/2022,AwayTeam,Wolfsburg,0,2,0,0,-2,1,-2,0,2
D1,19/08/2022,HomeTeam,M'gladbach,1,0,3,1,1,7,3,2,3
D1,19/08/2022,AwayTeam,Hertha,0,1,0,0,-1,1,-3,0,3
D1,20/08/2022,HomeTeam,Augsburg,1,2,0,0,-1,3,-4,1,3
D1,20/08/2022,AwayTeam,Mainz,2,1,3,1,1,7,2,2,3
D1,20/08/2022,HomeTeam,Dortmund,2,3,0,0,-1,6,2,2,3
D1,20/08/2022,AwayTeam,Werder Bremen,3,2,3,1,1,5,1,1,3
D1,20/08/2022,HomeTeam,Leverkusen,0,3,0,0,-3,0,-5,0,3
D1,20/08/2022,AwayTeam,Hoffenheim,3,0,3,1,3,6,2,2,3
D1,20/08/2022,HomeTeam,Stuttgart,0,1,0,0,-1,2,-1,0,3
D1,20/08/2022,AwayTeam,Freiburg,1,0,3,1,1,6,3,2,3
D1,20/08/2022,HomeTeam,Wolfsburg,0,0,1,0,0,2,-2,0,3
D1,20/08/2022,AwayTeam,Schalke 04,0,0,1,0,0,2,-2,0,3
D1,20/08/2022,HomeTeam,Union Berlin,2,1,3,1,1,7,3,2,3
D1,20/08/2022,AwayTeam,RB Leipzig,1,2,0,0,-1,2,-1,0,3
D1,21/08/2022,HomeTeam,Ein Frankfurt,1,1,1,0,0,2,-5,0,3
D1,21/08/2022,AwayTeam,FC Koln,1,1,1,0,0,5,2,1,3
D1,21/08/2022,HomeTeam,Bochum,0,7,0,0,-7,0,-9,0,3
D1,21/08/2022,AwayTeam,Bayern Munich,7,0,3,1,7,9,14,3,3
SP1,12/08/2022,HomeTeam,Osasuna,2,1,3,1,1,3,1,1,1
SP1,12/08/2022,AwayTeam,Sevilla,1,2,0,0,-1,0,-1,0,1
SP1,13/08/2022,HomeTeam,Celta,2,2,1,0,0,1,0,0,1
SP1,13/08/2022,AwayTeam,Espanol,2,2,1,0,0,1,0,0,1
SP1,13/08/2022,HomeTeam,Valladolid,0,3,0,0,-3,0,-3,0,1
SP1,13/08/2022,AwayTeam,Villarreal,3,0,3,1,3,3,3,1,1
SP1,13/08/2022,HomeTeam,Barcelona,0,0,1,0,0,1,0,0,1
SP1,13/08/2022,AwayTeam,Vallecano,0,0,1,0,0,1,0,0,1
SP1,14/08/2022,HomeTeam,Cadiz,0,1,0,0,-1,0,-1,0,1
SP1,14/08/2022,AwayTeam,Sociedad,1,0,3,1,1,3,1,1,1
SP1,14/08/2022,HomeTeam,Valencia,1,0,3,1,1,3,1,1,1
SP1,14/08/2022,AwayTeam,Girona,0,1,0,0,-1,0,-1,0,1
SP1,14/08/2022,HomeTeam,Almeria,1,2,0,0,-1,0,-1,0,1
SP1,14/08/2022,AwayTeam,Real Madrid,2,1,3,1,1,3,1,1,1
SP1,15/08/2022,HomeTeam,Ath Bilbao,0,0,1,0,0,1,0,0,1
SP1,15/08/2022,AwayTeam,Mallorca,0,0,1,0,0,1,0,0,1
SP1,15/08/2022,HomeTeam,Getafe,0,3,0,0,-3,0,-3,0,1
SP1,15/08/2022,AwayTeam,Ath Madrid,3,0,3,1,3,3,3,1,1
SP1,15/08/2022,HomeTeam,Betis,3,0,3,1,3,3,3,1,1
SP1,15/08/2022,AwayTeam,Elche,0,3,0,0,-3,0,-3,0,1
SP1,19/08/2022,HomeTeam,Espanol,0,2,0,0,-2,1,-2,0,2
SP1,19/08/2022,AwayTeam,Vallecano,2,0,3,1,2,4,2,1,2
SP1,19/08/2022,HomeTeam,Sevilla,1,1,1,0,0,1,-1,0,2
SP1,19/08/2022,AwayTeam,Valladolid,1,1,1,0,0,1,-3,0,2
SP1,20/08/2022,HomeTeam,Osasuna,2,0,3,1,2,6,3,2,2
SP1,20/08/2022,AwayTeam,Cadiz,0,2,0,0,-2,0,-3,0,2
SP1,20/08/2022,HomeTeam,Mallorca,1,2,0,0,-1,1,-1,0,2
SP1,20/08/2022,AwayTeam,Betis,2,1,3,1,1,6,4,2,2
SP1,20/08/2022,HomeTeam,Celta,1,4,0,0,-3,1,-3,0,2
SP1,20/08/2022,AwayTeam,Real Madrid,4,1,3,1,3,6,4,2,2
SP1,21/08/2022,HomeTeam,Ath Bilbao,1,0,3,1,1,4,1,1,2
SP1,21/08/2022,AwayTeam,Valencia,0,1,0,0,-1,3,0,1,2
SP1,21/08/2022,HomeTeam,Ath Madrid,0,2,0,0,-2,3,1,1,2
SP1,21/08/2022,AwayTeam,Villarreal,2,0,3,1,2,6,5,2,2
SP1,21/08/2022,HomeTeam,Sociedad,1,4,0,0,-3,3,-2,1,2
SP1,21/08/2022,AwayTeam,Barcelona,4,1,3,1,3,4,3,1,2
F1,05/08/2022,HomeTeam,Lyon,2,1,3,1,1,3,1,1,1
